category_title;word;count
Entertainment        ;kim;15
Entertainment        ;makeup;15
Entertainment        ;secret;15
Entertainment        ;vogue;15
Entertainment        ;â€“;15
Lifestyle            ;10;15
Lifestyle            ;bon;15
Lifestyle            ;chocolate;15
Lifestyle            ;ever;15
Lifestyle            ;hair;15
Lifestyle            ;holiday;15
Lifestyle            ;making;15
Lifestyle            ;ones;15
Lifestyle            ;routine;15
Lifestyle            ;w;15
Music                ;camila;15
Music                ;christmas;15
Science & Politics   ;apple;15
Science & Politics   ;down;15
Science & Politics   ;falcon;15
Science & Politics   ;full;15
Science & Politics   ;not;15
Science & Politics   ;school;15
Science & Politics   ;test;15
Sports               ;best;15
Sports               ;perfect;15
Sports               ;week;15
Theater & Animation  ;2017;15
Theater & Animation  ;3;15
Theater & Animation  ;conan;15
Theater & Animation  ;life;15
Entertainment        ;4;14
Entertainment        ;adam;14
Entertainment        ;gets;14
Entertainment        ;have;14
Entertainment        ;justice;14
Entertainment        ;michael;14
Entertainment        ;red;14
Entertainment        ;time;14
Entertainment        ;trump;14
Entertainment        ;w;14
Entertainment        ;wired;14
Gaming               ;2018;14
Lifestyle            ;appã©tit;14
Lifestyle            ;grace;14
Lifestyle            ;guide;14
Lifestyle            ;live;14
Lifestyle            ;look;14
Lifestyle            ;makeover;14
Lifestyle            ;makes;14
Lifestyle            ;out;14
Lifestyle            ;real;14
Lifestyle            ;show;14
Lifestyle            ;will;14
Music                ;cabello;14
Music                ;cardi;14
Music                ;cover;14
Music                ;new;14
Music                ;out;14
Science & Politics   ;day;14
Science & Politics   ;dead;14
Science & Politics   ;have;14
Science & Politics   ;heavy;14
Science & Politics   ;meghan;14
Science & Politics   ;out;14
Sports               ;1;14
Sports               ;season;14
Sports               ;smith;14
Theater & Animation  ;bad;14
Theater & Animation  ;fox;14
Theater & Animation  ;kevin;14
Theater & Animation  ;stocking;14
Theater & Animation  ;tbs;14
Theater & Animation  ;yiay;14
Entertainment        ;cardi;13
Entertainment        ;globes;13
Entertainment        ;into;13
Entertainment        ;know;13
Entertainment        ;league;13
Entertainment        ;lip;13
Entertainment        ;news;13
Entertainment        ;part;13
Entertainment        ;scene;13
Entertainment        ;slow;13
Entertainment        ;studios;13
Entertainment        ;sync;13
Gaming               ;nintendo;13
