snippet/title;title;thumbnail_link;hour_of_publish;week_day
Science & Politics   ;Gayle King and Norah O'Donnell respond to Charlie Rose allegations                                  ;https://i.ytimg.com/vi/-SIp6xSP7ds/default.jpg       ;12                                                                                                  ;3
Lifestyle            ;I GOT FIRED...                                                                                      ;https://i.ytimg.com/vi/-sXnoM6rDB4/default.jpg       ;22                                                                                                  ;2
Gaming               ;PLAYERUNKNOWN'S BATTLEGROUNDS Xbox Action Trailer                                                   ;https://i.ytimg.com/vi/-t5YLGn3VHQ/default.jpg       ;17                                                                                                  ;3
Lifestyle            ;Forced Arbitration | January 31, 2018 Act 2 | Full Frontal on TBS                                   ;https://i.ytimg.com/vi/-txKpma65ZU/default.jpg       ;07                                                                                                  ;5
Theater & Animation  ;YOUR DATE IS HERE - Horror Short                                                                    ;https://i.ytimg.com/vi/-V1Oo7srGf0/default.jpg       ;13                                                                                                  ;2
Science & Politics   ;Why this elbow is a TIME person of the year                                                         ;https://i.ytimg.com/vi/-W6v2_0evUU/default.jpg       ;12                                                                                                  ;4
Science & Politics   ;Samsung Galaxy S9 hands-on                                                                          ;https://i.ytimg.com/vi/-WRcZ9xHMuE/default.jpg       ;17                                                                                                  ;1
Music                ;Janelle Monáe – I Like That [Official Audio]                                                     ;https://i.ytimg.com/vi/-xAMnJgc3oA/default.jpg       ;04                                                                                                  ;2
Lifestyle            ;KAZAKHSTAN 24-hour ARMY RATION TASTE TEST | Kazakh MRE                                              ;https://i.ytimg.com/vi/-yMXWp-Fh3g/default.jpg       ;01                                                                                                  ;3
Lifestyle            ;Tiny Tortoise Dodges Traffic!                                                                       ;https://i.ytimg.com/vi/-zrJwYFJtZo/default.jpg       ;11                                                                                                  ;6
Music                ;Peking Duk - Wasted (Official Video)                                                                ;https://i.ytimg.com/vi/0-_h-qFt_zs/default.jpg       ;21                                                                                                  ;5
Theater & Animation  ;Lin-Manuel Miranda, Weird Al and Jimmy Lip Sync The Hamilton Polka                                  ;https://i.ytimg.com/vi/0-yiRIWkhLo/default.jpg       ;04                                                                                                  ;7
Entertainment        ;Lost 'Star Wars' Footage Of Luke Skywalker At The Cantina                                           ;https://i.ytimg.com/vi/00nmxR1mxIA/default.jpg       ;08                                                                                                  ;7
Lifestyle            ;Lexus LS 500 F SPORT / Marvel Studios’ Black Panther Commercial—Full Length                     ;https://i.ytimg.com/vi/01AEuxSlIMg/default.jpg       ;09                                                                                                  ;5
Science & Politics   ;How To Make a Giant Flaming Vortex Fountain                                                         ;https://i.ytimg.com/vi/02N508BDngc/default.jpg       ;15                                                                                                  ;6
Theater & Animation  ;Tinashe ft. Offset: No Drama                                                                        ;https://i.ytimg.com/vi/04aPsalAZQI/default.jpg       ;04                                                                                                  ;6
Entertainment        ;Glowing Speaker iPhone Mod! See Your Music in RGB!                                                  ;https://i.ytimg.com/vi/07bTt0BTi-U/default.jpg       ;02                                                                                                  ;5
Music                ;Noah Cyrus - Again (Alan Walker Remix)                                                              ;https://i.ytimg.com/vi/07S_Glj3uYs/default.jpg       ;17                                                                                                  ;6
Science & Politics   ;Rihanna Claps Back at Snapchat for Domestic Violence Ad Featuring Chris Brown                       ;https://i.ytimg.com/vi/08l0K3UyUXE/default.jpg       ;22                                                                                                  ;5
Theater & Animation  ;DOING MAKE UP WITH GARDENING TOOLS!!                                                                ;https://i.ytimg.com/vi/08OhPK2BVIU/default.jpg       ;23                                                                                                  ;4
Science & Politics   ;Trinitron: Sony's Once Unbeatable Product                                                           ;https://i.ytimg.com/vi/0aFhzGEBQlk/default.jpg       ;15                                                                                                  ;7
Entertainment        ;WON'T YOU BE MY NEIGHBOR? - First Look Clip - Coming Soon                                           ;https://i.ytimg.com/vi/0AWUKX5D_ak/default.jpg       ;19                                                                                                  ;3
Theater & Animation  ;When the girl you're wrestling has a tough little brother  - 979280                                 ;https://i.ytimg.com/vi/0bSE-rh7jFg/default.jpg       ;20                                                                                                  ;3
Sports               ;Why Hosting The Olympics Isn't Worth It Anymore                                                     ;https://i.ytimg.com/vi/0bXJGZgR1BU/default.jpg       ;20                                                                                                  ;2
Music                ;DJ Khaled, Rihanna - Wild Thoughts (2018 Live Performance)                                          ;https://i.ytimg.com/vi/0cZLo3AAan4/default.jpg       ;03                                                                                                  ;2
Science & Politics   ;PBS NewsHour Weekend full episode Dec. 2, 2017                                                      ;https://i.ytimg.com/vi/0doVNhCyoA4/default.jpg       ;22                                                                                                  ;7
Entertainment        ;The Voice 2017 - Pitch Perfect 3 x The Voice Freedom! ’90 x Cups�? (Digital Exclusive)           ;https://i.ytimg.com/vi/0dSR-9mtuzk/default.jpg       ;01                                                                                                  ;4
Science & Politics   ;Omarosa Manigault Talks White House Exit | The View                                                 ;https://i.ytimg.com/vi/0EbFotkXOiA/default.jpg       ;16                                                                                                  ;5
Theater & Animation  ;The True Messed Up Story of Pocahontas                                                              ;https://i.ytimg.com/vi/0EPY1CKFecs/default.jpg       ;17                                                                                                  ;3
Sports               ;Steve Kerr reminisces with Scottie Pippen about their Bulls playoff runs | The Jump | ESPN          ;https://i.ytimg.com/vi/0ETrC_c14ms/default.jpg       ;00                                                                                                  ;7
