snippet/title;title;thumbnail_link;hour_of_publish;week_day
Theater & Animation  ;Rediscover the Love: Big Mac® Trio | McDonald's                                                    ;https://i.ytimg.com/vi/dN1FTF3HF6c/default.jpg       ;01                                                                                                  ;2
Lifestyle            ;How Maybelline Mascara Is Made | How Stuff Is Made | Refinery29                                     ;https://i.ytimg.com/vi/dnA3Cd5xG5A/default.jpg       ;16                                                                                                  ;4
Music                ;Troye Sivan - The Good Side (Live on SNL)                                                           ;https://i.ytimg.com/vi/DnSO5Uhobvo/default.jpg       ;08                                                                                                  ;1
Entertainment        ;Derren Brown: The Push I Official Trailer [HD] I Netflix                                            ;https://i.ytimg.com/vi/doFpACkiZ2Q/default.jpg       ;16                                                                                                  ;3
Science & Politics   ;GoPro Gets Melted by Lava and Survives                                                              ;https://i.ytimg.com/vi/DOIw62TXYkg/default.jpg       ;19                                                                                                  ;3
Lifestyle            ;WILL I EVER GET IN ANOTHER RELATIONSHIP? Q&A                                                        ;https://i.ytimg.com/vi/dOv-1NG-YKc/default.jpg       ;03                                                                                                  ;5
Entertainment        ;Black Panther Cast Touches a Chameleon, a Guinea Pig, and Other Weird Stuff | Fear Box | Vanity Fair;https://i.ytimg.com/vi/DPCW4yvWQT4/default.jpg       ;17                                                                                                  ;2
Theater & Animation  ;Keeping Up With The Gonzalez’s (Pt. 3) | Lele Pons, Rudy Mancuso & Inanna Sarkis                  ;https://i.ytimg.com/vi/dpLrlEBFq-0/default.jpg       ;18                                                                                                  ;6
Theater & Animation  ;Drunk History - Rose Valland Takes On the Nazis                                                     ;https://i.ytimg.com/vi/dPWg-A9tiRI/default.jpg       ;21                                                                                                  ;3
Music                ;Vance Joy - Call If You Need Me [Official Video]                                                    ;https://i.ytimg.com/vi/dQjTQFRZsD4/default.jpg       ;21                                                                                                  ;1
Sports               ;Artwork Forge                                                                                       ;https://i.ytimg.com/vi/dQMZLXaa1L8/default.jpg       ;23                                                                                                  ;4
Lifestyle            ;HOW TO BUILD A SMART ARDUINO CAT FEEDER                                                             ;https://i.ytimg.com/vi/dqr-AT5HvyM/default.jpg       ;16                                                                                                  ;2
Lifestyle            ;99 CENT HOLIDAY SHOPPING ADVENTURE!                                                                 ;https://i.ytimg.com/vi/dR10LRByhRc/default.jpg       ;02                                                                                                  ;6
Lifestyle            ;Cat Alarm Clock                                                                                     ;https://i.ytimg.com/vi/DRfniGCgW0I/default.jpg       ;20                                                                                                  ;2
Theater & Animation  ;Freak Show – Official Trailer l HD l IFC Films                                                    ;https://i.ytimg.com/vi/drg74wOy8z8/default.jpg       ;19                                                                                                  ;6
Theater & Animation  ;My Instagram Pictures (Part 3) | My Parents React (Ep. 27)                                          ;https://i.ytimg.com/vi/drQXdm02oCg/default.jpg       ;22                                                                                                  ;2
Theater & Animation  ;EVERY DAY Official Trailer (2018)                                                                   ;https://i.ytimg.com/vi/dRvKm__GrqU/default.jpg       ;20                                                                                                  ;5
Theater & Animation  ;Alfred: Before Batman                                                                               ;https://i.ytimg.com/vi/ds3tvjwdmGM/default.jpg       ;15                                                                                                  ;1
Science & Politics   ;The European City Centre With No Street Names                                                       ;https://i.ytimg.com/vi/DSG-zxGRkJw/default.jpg       ;16                                                                                                  ;2
Lifestyle            ;$2 Bacon Vs. $100 Bacon                                                                             ;https://i.ytimg.com/vi/dT5ALH3ICTc/default.jpg       ;15                                                                                                  ;1
Science & Politics   ;North Korea Accidentally Hit One Of Its Own Cities With A Ballistic Missile Last Year | CNBC        ;https://i.ytimg.com/vi/dtdiFUwRQqM/default.jpg       ;21                                                                                                  ;5
Lifestyle            ;Brad Makes Honey | It's Alive | Bon Appétit                                                        ;https://i.ytimg.com/vi/DTErM4uuPdc/default.jpg       ;17                                                                                                  ;5
Sports               ;Best Wired Moments of the NBA Christmas Day Games (Kyrie, Draymond, John Wall and More!)            ;https://i.ytimg.com/vi/Dtp6sO2tU0k/default.jpg       ;16                                                                                                  ;3
Entertainment        ;NERF Hide Your Weapon Challenge!                                                                    ;https://i.ytimg.com/vi/Duc3F700lgE/default.jpg       ;21                                                                                                  ;6
Lifestyle            ;Bob Saget Hiccups Uncontrollably While Eating Spicy Wings | Hot Ones                                ;https://i.ytimg.com/vi/duRDizP0gHQ/default.jpg       ;16                                                                                                  ;5
Science & Politics   ;Google Pixel 2 Camera Test vs. $20k Hasselblad                                                      ;https://i.ytimg.com/vi/DuTnYi_HW2o/default.jpg       ;21                                                                                                  ;2
Lifestyle            ;I Have (a little bit) HAD IT!                                                                       ;https://i.ytimg.com/vi/DUYa7rjRz0s/default.jpg       ;23                                                                                                  ;6
Lifestyle            ;How To Make a Vegan Curry                                                                           ;https://i.ytimg.com/vi/DV1OqgHb3jc/default.jpg       ;20                                                                                                  ;1
Entertainment        ;Ernie Designs a Tattoo for His Mom | Kids Draw | Cut                                                ;https://i.ytimg.com/vi/dV_UXo8LiWk/default.jpg       ;13                                                                                                  ;7
Entertainment        ;NASHVILLE on CMT | Final Episodes Coming June 7                                                     ;https://i.ytimg.com/vi/dvJWgErHi7A/default.jpg       ;03                                                                                                  ;6
Entertainment        ;Alexa Activated Fire Blaster - How To                                                               ;https://i.ytimg.com/vi/dVQ6rwaZ648/default.jpg       ;15                                                                                                  ;5
Entertainment        ;New Yorkers Share their Story for a Dollar - Part 5                                                 ;https://i.ytimg.com/vi/dw74T9x6lDE/default.jpg       ;23                                                                                                  ;6
Lifestyle            ;5 Days Of Meal Prep | Try Living With Lucie | Refinery29                                            ;https://i.ytimg.com/vi/DWaU47V3rMU/default.jpg       ;16                                                                                                  ;6
Lifestyle            ;Take Sam to Church | December 20, 2017 Act 3 | Full Frontal on TBS                                  ;https://i.ytimg.com/vi/dwEKqAwoz0Y/default.jpg       ;07                                                                                                  ;5
Lifestyle            ;We Got Coachella Makeovers                                                                          ;https://i.ytimg.com/vi/dWLDoQ0Kus8/default.jpg       ;00                                                                                                  ;5
Science & Politics   ;HUGE 17 Carat Diamond vs 60,003 PSI Waterjet                                                        ;https://i.ytimg.com/vi/dWxS9_OwC8Y/default.jpg       ;20                                                                                                  ;6
Music                ;Kelly Clarkson - I Don't Think About You [Official Video]                                           ;https://i.ytimg.com/vi/dx9mF1KJr0s/default.jpg       ;13                                                                                                  ;3
Entertainment        ;Adam Ruins Everything - The True Origins of Tulipmania | truTV                                      ;https://i.ytimg.com/vi/dY2jpeasD4w/default.jpg       ;15                                                                                                  ;5
Entertainment        ;Nick Robinson on His Mom, His Roommate & His New Movie                                              ;https://i.ytimg.com/vi/dyUJN3skBlU/default.jpg       ;10                                                                                                  ;6
Theater & Animation  ;SOLVED: Yanny or Laurel                                                                             ;https://i.ytimg.com/vi/DZAiRufPx9A/default.jpg       ;03                                                                                                  ;4
Lifestyle            ;The FBI came to visit me today about Nikolas Cruz                                                   ;https://i.ytimg.com/vi/DzNwinmBawo/default.jpg       ;03                                                                                                  ;5
Entertainment        ;Maisie Williams HEART RATE MONITOR feat. Eddie Redmayne | GAME OF THRONES SEASON 8 'SPOILERS' (!?)  ;https://i.ytimg.com/vi/dZWNPEC6SIw/default.jpg       ;08                                                                                                  ;4
Music                ;Joyner Lucas & Chris Brown - Stranger Things                                                        ;https://i.ytimg.com/vi/E-u9uo0laA8/default.jpg       ;18                                                                                                  ;1
Theater & Animation  ;Love, Simon | Official Trailer 2 [HD] | 20th Century FOX                                            ;https://i.ytimg.com/vi/E0cbWdlQg_8/default.jpg       ;14                                                                                                  ;3
Theater & Animation  ;Goat Yoga with Khloé Kardashian | Kevin Hart: What The Fit Episode 4 | Laugh Out Loud Network      ;https://i.ytimg.com/vi/e15ZR6XG4Z8/default.jpg       ;17                                                                                                  ;5
Science & Politics   ;Why Stradivarius violins are worth millions                                                         ;https://i.ytimg.com/vi/E21NATEP9QI/default.jpg       ;12                                                                                                  ;2
Entertainment        ;The Breakfast Club Addresses Backlash After Amara La Negra Interview                                ;https://i.ytimg.com/vi/e2ExvdtmIyU/default.jpg       ;13                                                                                                  ;3
Lifestyle            ;Italian grandmother learning to use Google home                                                     ;https://i.ytimg.com/vi/e2R0NSKtVA0/default.jpg       ;05                                                                                                  ;5
Music                ;Weezer - Africa                                                                                     ;https://i.ytimg.com/vi/E4c7EE8_IX0/default.jpg       ;12                                                                                                  ;3
Lifestyle            ;December Favorites 2017                                                                             ;https://i.ytimg.com/vi/E579ABhzXwo/default.jpg       ;00                                                                                                  ;2
Entertainment        ;TULLY - Official Trailer [HD] - In Theaters May 4                                                   ;https://i.ytimg.com/vi/e5D3O4yCmCg/default.jpg       ;02                                                                                                  ;4
Entertainment        ;Black Mirror - Hang the DJ | Official Trailer [HD] | Netflix                                        ;https://i.ytimg.com/vi/e5N_Tq1EtRQ/default.jpg       ;14                                                                                                  ;6
Entertainment        ;It's true, wife and I are getting a divorce.  Here's whats next for us.                             ;https://i.ytimg.com/vi/E60w-0q8Y0Y/default.jpg       ;01                                                                                                  ;4
Entertainment        ;Little Mix bring the Power & CNCO to The X Factor Final! | Final | The X Factor 2017                ;https://i.ytimg.com/vi/e77J4g0LMOk/default.jpg       ;19                                                                                                  ;1
Science & Politics   ;When Molten Salt hits a Watermelon                                                                  ;https://i.ytimg.com/vi/e7sIvcYmuk0/default.jpg       ;15                                                                                                  ;1
Entertainment        ;Logan Paul Says He's Still Learning From Suicide Forest Mistake | TMZ                               ;https://i.ytimg.com/vi/E7zFj4iUn0U/default.jpg       ;18                                                                                                  ;3
Theater & Animation  ;The Death of Stalin Trailer #1 (2018) | Movieclips Trailers                                         ;https://i.ytimg.com/vi/E9eAshaPvYw/default.jpg       ;00                                                                                                  ;5
Music                ;Charlie Puth - Change (feat. James Taylor) [Official Audio]                                         ;https://i.ytimg.com/vi/e9XbKS9xWD0/default.jpg       ;04                                                                                                  ;2
Music                ;Hunter Hayes - You Should Be Loved (Part One Of Pictures)                                           ;https://i.ytimg.com/vi/e_7zHm7GsYc/default.jpg       ;15                                                                                                  ;2
Lifestyle            ;First Day at My New Job | Karlie Kloss                                                              ;https://i.ytimg.com/vi/e_FmQF9yVIU/default.jpg       ;13                                                                                                  ;5
Music                ;Lissie - Blood and Muscle                                                                           ;https://i.ytimg.com/vi/EA5Tn5Gw_8s/default.jpg       ;16                                                                                                  ;6
Sports               ;"MAYWEATHER CHECKS DANA WHITE FOR USING NAME TO RENEW FOX DEAL; ENDS UFC RUMORS ONCE AND FOR ALL     ";https://i.ytimg.com/vi/EaEesT3HO4w/default.jpg       ;20                                                                                                  ;6
Music                ;Ed Sheeran - Supermarket Flowers [Live from the BRITs 2018]                                         ;https://i.ytimg.com/vi/EAGhzuitLXU/default.jpg       ;16                                                                                                  ;5
Theater & Animation  ;Review of the ION Bottleless Water Cooler                                                           ;https://i.ytimg.com/vi/eAyxMv4IBH8/default.jpg       ;00                                                                                                  ;1
Theater & Animation  ;Alicia Vikander Teaches Jimmy a New Swedish Game                                                    ;https://i.ytimg.com/vi/ebHbB2eDz1g/default.jpg       ;10                                                                                                  ;5
Music                ;Charlie Puth - Done For Me (Jazz Version)                                                           ;https://i.ytimg.com/vi/EbSOKsFHwU8/default.jpg       ;16                                                                                                  ;4
Entertainment        ;Victoria’s Secret Model Sara Sampaio’s Easy Bombshell Makeup Look | Beauty Secrets | Vogue      ;https://i.ytimg.com/vi/EbuCLC_wVlM/default.jpg       ;14                                                                                                  ;3
Sports               ;PSG 1-2 Real Madrid | RONALDO & HIS TEAMMATES IN THE DRESSING ROOM: Celebrations                    ;https://i.ytimg.com/vi/EC5UCCnk59c/default.jpg       ;00                                                                                                  ;4
Entertainment        ;Blake Shelton Is Milking His Title of Sexiest Man Alive                                             ;https://i.ytimg.com/vi/eDelIZDzmwQ/default.jpg       ;14                                                                                                  ;5
Science & Politics   ;Youtube Sent Me Mystery Box!?                                                                       ;https://i.ytimg.com/vi/eDZKgSZ9V0Q/default.jpg       ;23                                                                                                  ;2
Entertainment        ;Wanna Be Startin' Somethin' w/ the Stars! | Lip Sync Battle Live: A Michael Jackson Celebration     ;https://i.ytimg.com/vi/eEdPnm-AZ94/default.jpg       ;20                                                                                                  ;6
Gaming               ;Our First Date                                                                                      ;https://i.ytimg.com/vi/EEIP1YpFXrE/default.jpg       ;20                                                                                                  ;4
Science & Politics   ;The DENON DP 47F Turntable - an Automatic Classic                                                   ;https://i.ytimg.com/vi/eenl2f0o6AQ/default.jpg       ;07                                                                                                  ;6
Theater & Animation  ;Why English is the MOST CONFUSING Language!!?                                                       ;https://i.ytimg.com/vi/eep4_0JaaG8/default.jpg       ;11                                                                                                  ;6
Entertainment        ;Tommy Wiseau’s Joker Audition Tape (Nerdist Presents)                                             ;https://i.ytimg.com/vi/eFjFxgHedgM/default.jpg       ;15                                                                                                  ;2
Theater & Animation  ;Meghan Trainor Left The Four Set Crying After an Intense Run-In with Diddy                          ;https://i.ytimg.com/vi/efve8-mhdVg/default.jpg       ;13                                                                                                  ;5
Lifestyle            ;Could Anastasia Become A Disney Princess?                                                           ;https://i.ytimg.com/vi/Eg_kW5fw6qU/default.jpg       ;23                                                                                                  ;5
Entertainment        ;LIGHTS OUT CHALLENGE IN FAZE RUG'S HAUNTED HOUSE | OmarGoshTV                                       ;https://i.ytimg.com/vi/EGV9Ms9EHcg/default.jpg       ;07                                                                                                  ;3
Sports               ;Elise Mertens v Elina Svitolina match highlights (QF) | Australian Open 2018                        ;https://i.ytimg.com/vi/eHEwkvFFBII/default.jpg       ;05                                                                                                  ;3
Music                ;5 Seconds Of Summer - Want You Back (Official Video)                                                ;https://i.ytimg.com/vi/EhSXsTSNDyo/default.jpg       ;13                                                                                                  ;3
Music                ;Ed Sheeran - Perfect Symphony (with Andrea Bocelli)                                                 ;https://i.ytimg.com/vi/eiDiKwbGfIY/default.jpg       ;08                                                                                                  ;6
Theater & Animation  ;Madtown Trailer #1 (2018) | Moveiclips Indie                                                        ;https://i.ytimg.com/vi/eIj9vqnhQ6I/default.jpg       ;20                                                                                                  ;4
Science & Politics   ;Unrigged Live! with Jennifer Lawrence, Tig Notaro, Richard Painter, and more                        ;https://i.ytimg.com/vi/eIns8Y0xegE/default.jpg       ;06                                                                                                  ;1
Entertainment        ;Spill Your Guts or Fill Your Guts w/ Steven Tyler                                                   ;https://i.ytimg.com/vi/eiudTjsGM7g/default.jpg       ;05                                                                                                  ;6
Lifestyle            ;Mark Hamill :  He's not my Luke Skywalker                                                           ;https://i.ytimg.com/vi/EIY-PsHrj9A/default.jpg       ;13                                                                                                  ;4
Entertainment        ;Zurcaroh: Golden Buzzer Worthy Aerial Dance Group Impresses Tyra Banks - America's Got Talent 2018  ;https://i.ytimg.com/vi/EJjh19zO1lk/default.jpg       ;01                                                                                                  ;4
Sports               ;Joel Embiid on win over Clippers, scuffle with Willie Reed and using social media | NBA on ESPN     ;https://i.ytimg.com/vi/EJu_wPGFTw0/default.jpg       ;15                                                                                                  ;3
Entertainment        ;Halloween - Official Trailer (HD)                                                                   ;https://i.ytimg.com/vi/ek1ePFp-nBI/default.jpg       ;14                                                                                                  ;6
Entertainment        ;Quick D: Invisible Box Challenge                                                                    ;https://i.ytimg.com/vi/eKFrZNXB29M/default.jpg       ;20                                                                                                  ;4
Music                ;Miguel - Pineapple Skies (Audio)                                                                    ;https://i.ytimg.com/vi/eKwAib6LosM/default.jpg       ;05                                                                                                  ;6
Lifestyle            ;February Favourites 2018 | Zoella                                                                   ;https://i.ytimg.com/vi/eljAjPH6zQI/default.jpg       ;16                                                                                                  ;2
Music                ;[OFFICIAL VIDEO] HAVANA - PENTATONIX                                                                ;https://i.ytimg.com/vi/elwTgpHlty0/default.jpg       ;15                                                                                                  ;6
Sports               ;Redskins vs. Cowboys | NFL Week 13 Game Highlights                                                  ;https://i.ytimg.com/vi/Em9EI37Yy9g/default.jpg       ;04                                                                                                  ;6
Gaming               ;Amazing Creatures Have Been Discovered across the Planet!                                           ;https://i.ytimg.com/vi/eMobkagZu64/default.jpg       ;13                                                                                                  ;5
Lifestyle            ;Roommates Switch Jobs For A Day                                                                     ;https://i.ytimg.com/vi/eMV_WNJkflM/default.jpg       ;19                                                                                                  ;2
Theater & Animation  ;Tomb Raider - Official Trailer #2 - Warner Bros. UK                                                 ;https://i.ytimg.com/vi/enqFulGwFYY/default.jpg       ;17                                                                                                  ;5
Science & Politics   ;HomeMade Electric Airplane                                                                          ;https://i.ytimg.com/vi/eNSN6qet1kE/default.jpg       ;15                                                                                                  ;2
Sports               ;Every NFL Team's Best Play from the 2017 Season! | NFL Highlights                                   ;https://i.ytimg.com/vi/eOcJ27xT99w/default.jpg       ;19                                                                                                  ;2
Entertainment        ;The Bipartisan Pastime Of Harassing Women                                                           ;https://i.ytimg.com/vi/eOQpjvnm4ME/default.jpg       ;08                                                                                                  ;6
Science & Politics   ;YouTube Has Now Frozen The Alex Jones Channel, NEXT MOVE IS DELETION!                               ;https://i.ytimg.com/vi/EOwWjoldNNc/default.jpg       ;18                                                                                                  ;3
Music                ;What New Yorkers Think Childish Gambino's “This Is America�? Means | Genius News                 ;https://i.ytimg.com/vi/eP33TkuI9vI/default.jpg       ;23                                                                                                  ;3
Lifestyle            ;I Dressed According To My Zodiac Sign For A Week                                                    ;https://i.ytimg.com/vi/Ep6-bNu16_I/default.jpg       ;05                                                                                                  ;1
Lifestyle            ;The vision for XFL in 2020                                                                          ;https://i.ytimg.com/vi/Epm5_DSfMn4/default.jpg       ;20                                                                                                  ;5
Lifestyle            ;We made BUTTERBEER from Harry Potter with sWooZie!                                                  ;https://i.ytimg.com/vi/Eq1BuMoTW7Q/default.jpg       ;23                                                                                                  ;6
Science & Politics   ;6 Cheese Gadgets put to the Test!                                                                   ;https://i.ytimg.com/vi/EqeIRzY7hIU/default.jpg       ;18                                                                                                  ;1
Music                ;Tove Styrke - liability (demo) (Audio)                                                              ;https://i.ytimg.com/vi/eQTcXGk9BRk/default.jpg       ;08                                                                                                  ;5
Sports               ;Daniel Bryan teams Jimmy Uso and Naomi in WWE Mixed Match Challenge                                 ;https://i.ytimg.com/vi/EQvdKS-QX_E/default.jpg       ;17                                                                                                  ;6
Music                ;The Making of a Song: “Delicate�? – watch more on Taylor Swift NOW                             ;https://i.ytimg.com/vi/eQVhAN7-IAw/default.jpg       ;03                                                                                                  ;4
Music                ;Rudimental - These Days (ft. Jess Glynne, Macklemore & Dan Caplen)(Official Audio)                  ;https://i.ytimg.com/vi/Er1eh1D8p2o/default.jpg       ;09                                                                                                  ;6
Entertainment        ;Kids Interview The 'Star Wars: The Last Jedi' Cast With Daisy Ridley, Mark Hamill & More | PeopleTV ;https://i.ytimg.com/vi/ERBEwrn4f7Q/default.jpg       ;22                                                                                                  ;2
Sports               ;Real Madrid vs. Bayern Munich | 2017-18 UEFA Champions League Highlights                            ;https://i.ytimg.com/vi/erybgSeUHus/default.jpg       ;22                                                                                                  ;3
Entertainment        ;$120 McGriddle Taste Test | FANCY FAST FOOD                                                         ;https://i.ytimg.com/vi/Es9CfWMmPRU/default.jpg       ;10                                                                                                  ;2
Science & Politics   ;How Likely Are You to Die During a Black Friday Sale?                                               ;https://i.ytimg.com/vi/EsBjHXCG4Us/default.jpg       ;17                                                                                                  ;6
Lifestyle            ;Everything Yolanda Hadid Eats In a Day | Food Diaries | Harper's BAZAAR                             ;https://i.ytimg.com/vi/eSHe32cEKqI/default.jpg       ;18                                                                                                  ;6
Science & Politics   ;Homeless little boy gets a bed for Christmas                                                        ;https://i.ytimg.com/vi/ESRAQtXVQL0/default.jpg       ;02                                                                                                  ;3
Lifestyle            ;The Broccoli Tree: A Parable                                                                        ;https://i.ytimg.com/vi/ESyJop31cmY/default.jpg       ;21                                                                                                  ;3
Lifestyle            ;DIY THRIFT STORE PROM DRESS MAKEOVER!                                                               ;https://i.ytimg.com/vi/ET6XGZqOyjY/default.jpg       ;17                                                                                                  ;7
Entertainment        ;YOUTUBERS REACT TO INVISIBLE BOX CHALLENGE                                                          ;https://i.ytimg.com/vi/EtfIzNdt9Ac/default.jpg       ;22                                                                                                  ;5
Theater & Animation  ;Star Wars: THE LAST JEDI - Supercut of ALL trailers & commercials                                   ;https://i.ytimg.com/vi/eu6hJx1L9IU/default.jpg       ;19                                                                                                  ;2
Theater & Animation  ;Black Mirror USS Callister: Goodbye, Toxic Fanboy                                                   ;https://i.ytimg.com/vi/EudArMNjbP0/default.jpg       ;16                                                                                                  ;7
Theater & Animation  ;A janitor's son is bullied by rich kids. So his dad stands up for him in the most heartwarming way. ;https://i.ytimg.com/vi/eUgrVCDUCtE/default.jpg       ;10                                                                                                  ;3
Lifestyle            ;Range Rover Sport – Dragon Challenge                                                              ;https://i.ytimg.com/vi/EUwzWHD3Htg/default.jpg       ;00                                                                                                  ;2
Theater & Animation  ;IF MOVIES WERE GENDER SWAPPED                                                                       ;https://i.ytimg.com/vi/Ev23TV62k08/default.jpg       ;16                                                                                                  ;4
Science & Politics   ;5 McDonald's Gadgets put to the Test!                                                               ;https://i.ytimg.com/vi/Ev9rOA2Yjs0/default.jpg       ;21                                                                                                  ;5
Theater & Animation  ;TSA Check                                                                                           ;https://i.ytimg.com/vi/Evz-ZQC8wss/default.jpg       ;23                                                                                                  ;6
Entertainment        ;Cut for Time: My Little Step Children (Natalie Portman) - SNL                                       ;https://i.ytimg.com/vi/eWBNCnU_PK0/default.jpg       ;00                                                                                                  ;3
Gaming               ;IT'S CHICA'S BIRTHDAY!!!                                                                            ;https://i.ytimg.com/vi/EWf7P3okX9s/default.jpg       ;18                                                                                                  ;2
Entertainment        ;Altered Carbon | Official Trailer [HD] | Netflix                                                    ;https://i.ytimg.com/vi/Ex9mcCs3dhE/default.jpg       ;15                                                                                                  ;5
Sports               ;Best 50 Plays of the 2018 NBA Regular Season                                                        ;https://i.ytimg.com/vi/exjMt3v81tA/default.jpg       ;00                                                                                                  ;6
Theater & Animation  ;Chadwick Boseman Surprises Black Panther Fans While They Thank Him                                  ;https://i.ytimg.com/vi/expKmfdoo28/default.jpg       ;04                                                                                                  ;5
Science & Politics   ;President Donald Trump’s State of the Union Address 2018 (Full) | NBC News                        ;https://i.ytimg.com/vi/exsOim0Lyl4/default.jpg       ;06                                                                                                  ;4
Theater & Animation  ;Doritos Super Bowl Commercial 2018 Peter Dinklage and Morgan Freeman                                ;https://i.ytimg.com/vi/Ey01ZlAoYes/default.jpg       ;22                                                                                                  ;3
Science & Politics   ;Why Jerusalem can make or break peace between Israelis and Palestinians                             ;https://i.ytimg.com/vi/Eyh1_XGHAnQ/default.jpg       ;15                                                                                                  ;6
Lifestyle            ;The Ultimate Red Lip Look | Nicole Guerriero                                                        ;https://i.ytimg.com/vi/EYkEshCOhEU/default.jpg       ;00                                                                                                  ;6
Theater & Animation  ;The Greatest Showman | Rewrite The Stars ft. Zendaya | 20th Century FOX                             ;https://i.ytimg.com/vi/eZFvbili87g/default.jpg       ;22                                                                                                  ;5
Sports               ;Cleveland Cavaliers vs Boston Celtics Full Game Highlights / Game 6 / 2018 NBA Playoffs             ;https://i.ytimg.com/vi/eZSAIm_pzv4/default.jpg       ;03                                                                                                  ;7
Lifestyle            ;Pageant Queens Answer Commonly Googled Questions About Pageants                                     ;https://i.ytimg.com/vi/EZXu7RxBR0Y/default.jpg       ;21                                                                                                  ;4
Sports               ;Braun Strowman bashes Elias with a bass: Raw, Feb. 12, 2018                                         ;https://i.ytimg.com/vi/f-xe1qxhcUI/default.jpg       ;03                                                                                                  ;3
Lifestyle            ;Mall Santa unmasked                                                                                 ;https://i.ytimg.com/vi/f0H4h0sfZIU/default.jpg       ;18                                                                                                  ;7
Entertainment        ;Armie Hammer and Timothée Chalamet Talk Passionate First Rehearsal                                 ;https://i.ytimg.com/vi/F0rXPrnC_Ps/default.jpg       ;14                                                                                                  ;4
Lifestyle            ;How Kimchi is Made                                                                                  ;https://i.ytimg.com/vi/f13X2hLYAhk/default.jpg       ;17                                                                                                  ;2
Entertainment        ;Is Angelina Jolie Or Jennifer Aniston The Better Kisser? | Plead The Fifth | WWHL                   ;https://i.ytimg.com/vi/f1e0BPbTjvo/default.jpg       ;14                                                                                                  ;5
Lifestyle            ;BLACKPINK - INTRO +  ‘마지막처럼 (AS IF IT’S YOUR LAST)’ in 2018 Seoul Music Awards      ;https://i.ytimg.com/vi/f1xIeTCgoFk/default.jpg       ;11                                                                                                  ;5
Sports               ;Kevin Hart Leads 2018 NBA All-Star Game Introductions | Team LeBron & Team Stephen                  ;https://i.ytimg.com/vi/f2MZnJlDJ4c/default.jpg       ;01                                                                                                  ;2
Theater & Animation  ;Tortoise Chases Cat - 977359-7                                                                      ;https://i.ytimg.com/vi/f2xPEy4PrmA/default.jpg       ;18                                                                                                  ;4
Entertainment        ;Lena Waithe is Winning                                                                              ;https://i.ytimg.com/vi/f3cpQZ5qvg4/default.jpg       ;23                                                                                                  ;4
Entertainment        ;Ellen Scrolls Through Fans' Instagram Accounts                                                      ;https://i.ytimg.com/vi/f3mOQCjL10g/default.jpg       ;13                                                                                                  ;4
Science & Politics   ;Florida ER nurse goes on epic rant about flu season                                                 ;https://i.ytimg.com/vi/f3Xkre0GOFU/default.jpg       ;18                                                                                                  ;5
Theater & Animation  ;clickbait                                                                                           ;https://i.ytimg.com/vi/f4FuOi9rvKw/default.jpg       ;20                                                                                                  ;2
Music                ;[MV] SUNMI (선미) _ Heroine (주�?�공)                                                           ;https://i.ytimg.com/vi/F4qfN5UeFvQ/default.jpg       ;09                                                                                                  ;5
Science & Politics   ;Why It's Illegal to be Named Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116                            ;https://i.ytimg.com/vi/f5Y3cf3MFIw/default.jpg       ;15                                                                                                  ;5
Entertainment        ;Shawn Mendes: In My Blood                                                                           ;https://i.ytimg.com/vi/f743HmLmJOY/default.jpg       ;06                                                                                                  ;5
Entertainment        ;[FULL STREAM] Open doors training session                                                           ;https://i.ytimg.com/vi/f7kPSYWU1JA/default.jpg       ;12                                                                                                  ;6
Lifestyle            ;I Dribbled A Basketball For An Entire Day                                                           ;https://i.ytimg.com/vi/F8BdzL8OltM/default.jpg       ;22                                                                                                  ;3
Science & Politics   ;Tractor Hacking: The Farmers Breaking Big Tech's Repair Monopoly                                    ;https://i.ytimg.com/vi/F8JCh0owT4w/default.jpg       ;16                                                                                                  ;5
Theater & Animation  ;Andre The Giant Official Trailer (2018) | HBO                                                       ;https://i.ytimg.com/vi/f_jTeuajas0/default.jpg       ;18                                                                                                  ;6
Music                ;Nick Jonas & Jack Black - Jumanji Jumanji (Official Video)                                          ;https://i.ytimg.com/vi/fA9Ypn3jQw0/default.jpg       ;14                                                                                                  ;2
Theater & Animation  ;Bumblebee (2018) - Official Teaser Trailer - Paramount Pictures                                     ;https://i.ytimg.com/vi/fAIX12F6958/default.jpg       ;07                                                                                                  ;3
Theater & Animation  ;MONEY Explained by Non-Experts | Thomas Sanders                                                     ;https://i.ytimg.com/vi/FApBWHvUzMs/default.jpg       ;20                                                                                                  ;7
Gaming               ;Mega Medley that was supposed to be 5 minutes but wasn't                                            ;https://i.ytimg.com/vi/FaxqVBYVOVU/default.jpg       ;02                                                                                                  ;4
Lifestyle            ;Purrthday Cake (A 10th Birthday Special) - Simon's Cat | BLACK & WHITE                              ;https://i.ytimg.com/vi/faYA_upR_a0/default.jpg       ;09                                                                                                  ;1
