category_title;word;likes;dislikes;comments;views;days_until_trendy
Science & Politics   ;backâ€™;5882.0;200.0;570.0;575537.0;7.0
Science & Politics   ;biles;5882.0;200.0;570.0;575537.0;7.0
Science & Politics   ;canâ€™t;5882.0;200.0;570.0;575537.0;7.0
Science & Politics   ;olympian;5882.0;200.0;570.0;575537.0;7.0
Science & Politics   ;simone;5882.0;200.0;570.0;575537.0;7.0
Science & Politics   ;â€˜took;5882.0;200.0;570.0;575537.0;7.0
Theater & Animation  ;applejack;5878.0;425.0;1630.0;108662.0;9.0
Entertainment        ;say;5878.0;256.0;688.0;290014.0;7.0
Entertainment        ;great;5877.0;67.0;1084.0;175429.0;7.0
Science & Politics   ;punching;5874.0;313.0;972.0;334465.0;9.0
Theater & Animation  ;giveaway;5873.0;41.0;1664.0;52416.0;4.0
Theater & Animation  ;onclothing;5873.0;41.0;1664.0;52416.0;4.0
Theater & Animation  ;unisex;5873.0;41.0;1664.0;52416.0;4.0
Science & Politics   ;drinking;5873.0;104.0;485.0;95552.0;1.0
Lifestyle            ;supreme;5869.0;302.0;732.0;262553.0;6.0
Sports               ;max;5864.0;511.0;2487.0;618377.0;3.0
Entertainment        ;skin;5856.0;209.0;1031.0;188391.0;172.0
Entertainment        ;interviews;5855.0;269.0;513.0;404650.0;2.0
Lifestyle            ;crab;5853.0;116.0;440.0;173997.0;9.0
Lifestyle            ;creole;5853.0;116.0;440.0;173997.0;9.0
Entertainment        ;agents;5849.0;200.0;1089.0;313055.0;5.0
Entertainment        ;shield;5849.0;200.0;1089.0;313055.0;5.0
Music                ;backseat;5845.0;196.0;393.0;210114.0;6.0
Music                ;carly;5845.0;196.0;393.0;210114.0;6.0
Music                ;jepsen;5845.0;196.0;393.0;210114.0;6.0
Lifestyle            ;quiz;5836.0;193.0;593.0;146275.0;5.0
Entertainment        ;helen;5834.0;194.0;400.0;977328.0;4.0
Lifestyle            ;ë§œë“¤ê¸°;5828.0;82.0;1306.0;180863.0;5.0
Sports               ;mlb;5823.0;520.0;971.0;458641.0;12.0
Theater & Animation  ;documentary;5820.0;51.0;208.0;73253.0;6.0
Theater & Animation  ;unauthorized;5820.0;51.0;208.0;73253.0;6.0
Lifestyle            ;pipsqueak;5817.0;31.0;1663.0;83393.0;7.0
Lifestyle            ;stacy;5817.0;31.0;1663.0;83393.0;7.0
Theater & Animation  ;killer;5808.0;556.0;1202.0;448835.0;2.0
Theater & Animation  ;pig;5808.0;556.0;1202.0;448835.0;2.0
Theater & Animation  ;ruby;5808.0;556.0;1202.0;448835.0;2.0
Entertainment        ;kardashians;5808.0;750.0;527.0;699210.0;3.0
Sports               ;annoyed;5799.0;482.0;1297.0;753119.0;2.0
Sports               ;confesses;5799.0;482.0;1297.0;753119.0;2.0
Sports               ;getting;5799.0;482.0;1297.0;753119.0;2.0
Sports               ;openly;5799.0;482.0;1297.0;753119.0;2.0
Sports               ;arrival;5794.0;244.0;360.0;379172.0;2.0
Sports               ;carmella;5794.0;244.0;360.0;379172.0;2.0
Sports               ;cass;5794.0;244.0;360.0;379172.0;2.0
Sports               ;divas;5794.0;244.0;360.0;379172.0;2.0
Sports               ;overboard;5794.0;244.0;360.0;379172.0;2.0
Sports               ;prepping;5794.0;244.0;360.0;379172.0;2.0
Sports               ;total;5794.0;244.0;360.0;379172.0;2.0
Theater & Animation  ;invited;5793.0;361.0;480.0;501719.0;7.0
Theater & Animation  ;wasnt;5793.0;361.0;480.0;501719.0;7.0
Sports               ;tmz;5792.0;1904.0;4437.0;2051832.0;9.0
Music                ;number;5791.0;195.0;402.0;173786.0;6.0
Entertainment        ;ma;5790.0;494.0;1380.0;310051.0;6.0
Entertainment        ;remy;5790.0;494.0;1380.0;310051.0;6.0
Entertainment        ;daisy;5790.0;165.0;807.0;330729.0;4.0
Entertainment        ;ridley;5790.0;165.0;807.0;330729.0;4.0
Lifestyle            ;connects;5789.0;633.0;552.0;224273.0;7.0
Lifestyle            ;gorgeous;5789.0;633.0;552.0;224273.0;7.0
Lifestyle            ;hollywood;5789.0;633.0;552.0;224273.0;7.0
Lifestyle            ;medium;5789.0;633.0;552.0;224273.0;7.0
Lifestyle            ;vr;5789.0;633.0;552.0;224273.0;7.0
Science & Politics   ;up;5787.0;756.0;1289.0;236883.0;5.0
Science & Politics   ;michael;5783.0;255.0;918.0;241950.0;5.0
Lifestyle            ;high;5778.0;105.0;450.0;115825.0;8.0
Entertainment        ;spoiler;5776.0;427.0;1447.0;240385.0;5.0
Entertainment        ;breath;5770.0;150.0;1312.0;225280.0;6.0
Entertainment        ;hold;5770.0;150.0;1312.0;225280.0;6.0
Lifestyle            ;ombrã‰;5770.0;85.0;249.0;186750.0;8.0
Entertainment        ;breakfast;5761.0;3096.0;2955.0;451515.0;10.0
Lifestyle            ;asthmatic;5760.0;275.0;1364.0;263061.0;6.0
Lifestyle            ;meds;5760.0;275.0;1364.0;263061.0;6.0
Lifestyle            ;biker;5754.0;99.0;493.0;196285.0;2.0
Lifestyle            ;bullying;5754.0;99.0;493.0;196285.0;2.0
Entertainment        ;support;5753.0;87.0;449.0;122536.0;5.0
Lifestyle            ;gorillas;5748.0;438.0;875.0;590444.0;4.0
Lifestyle            ;reflection;5748.0;438.0;875.0;590444.0;4.0
Entertainment        ;glow;5743.0;194.0;434.0;283531.0;3.0
Entertainment        ;maniac;5743.0;194.0;434.0;283531.0;3.0
Entertainment        ;owned;5743.0;82.0;282.0;296104.0;1.0
Entertainment        ;robbies;5743.0;82.0;282.0;296104.0;1.0
Sports               ;pelicans;5743.0;354.0;1450.0;587835.0;5.0
Science & Politics   ;harmonies;5735.0;108.0;412.0;153263.0;10.0
Science & Politics   ;prettier;5735.0;108.0;412.0;153263.0;10.0
Sports               ;ask;5734.0;222.0;1524.0;514264.0;3.0
Lifestyle            ;patagonia;5732.0;340.0;1092.0;402484.0;6.0
Science & Politics   ;sort;5732.0;236.0;467.0;219188.0;4.0
Lifestyle            ;antivalentines;5730.0;78.0;342.0;123452.0;5.0
Lifestyle            ;modeling;5730.0;78.0;342.0;123452.0;5.0
Lifestyle            ;sculpting;5730.0;78.0;342.0;123452.0;5.0
Sports               ;chart;5726.0;269.0;1061.0;156939.0;10.0
Sports               ;party;5726.0;269.0;1061.0;156939.0;10.0
Lifestyle            ;orange;5723.0;55.0;263.0;122669.0;5.0
Science & Politics   ;memorial;5721.0;1120.0;9828.0;1197356.0;8.0
Science & Politics   ;stark;5721.0;1120.0;9828.0;1197356.0;8.0
Entertainment        ;admirals;5721.0;75.0;564.0;130481.0;5.0
Entertainment        ;canon;5721.0;75.0;564.0;130481.0;5.0
Entertainment        ;imperial;5721.0;75.0;564.0;130481.0;5.0
Entertainment        ;rates;5721.0;75.0;564.0;130481.0;5.0
Theater & Animation  ;telling;5719.0;142.0;650.0;61584.0;6.0
Theater & Animation  ;wife;5719.0;142.0;650.0;61584.0;6.0
Entertainment        ;gmm;5717.0;212.0;613.0;165337.0;2.0
Entertainment        ;carls;5714.0;372.0;1573.0;223092.0;2.0
Entertainment        ;farewell;5714.0;372.0;1573.0;223092.0;2.0
Entertainment        ;tram;5702.0;239.0;1197.0;856802.0;42.0
Science & Politics   ;destroys;5701.0;326.0;781.0;170106.0;7.0
Science & Politics   ;tricked;5699.0;607.0;1174.0;737570.0;7.0
Music                ;cowboy;5692.0;367.0;301.0;495042.0;11.0
Sports               ;bulls;5690.0;212.0;1135.0;685653.0;3.0
Sports               ;kerr;5690.0;212.0;1135.0;685653.0;3.0
Sports               ;pippen;5690.0;212.0;1135.0;685653.0;3.0
Sports               ;reminisces;5690.0;212.0;1135.0;685653.0;3.0
Sports               ;runs;5690.0;212.0;1135.0;685653.0;3.0
Sports               ;scottie;5690.0;212.0;1135.0;685653.0;3.0
Lifestyle            ;rv;5689.0;177.0;854.0;134779.0;6.0
Lifestyle            ;describe;5688.0;41.0;709.0;146806.0;4.0
Lifestyle            ;illustrator;5688.0;41.0;709.0;146806.0;4.0
Lifestyle            ;koji;5688.0;41.0;709.0;146806.0;4.0
Lifestyle            ;america;5684.0;53.0;737.0;130778.0;6.0
Lifestyle            ;shop;5683.0;89.0;304.0;247760.0;6.0
Sports               ;xxxix;5680.0;263.0;2063.0;516574.0;3.0
Entertainment        ;schumer;5676.0;1406.0;660.0;460573.0;2.0
Lifestyle            ;smashed;5669.0;147.0;493.0;773212.0;10.0
Lifestyle            ;bots;5659.0;2432.0;1311.0;392482.0;6.0
Lifestyle            ;trolls;5659.0;2432.0;1311.0;392482.0;6.0
Lifestyle            ;chad;5657.0;68.0;284.0;412812.0;5.0
Lifestyle            ;fight;5657.0;68.0;284.0;412812.0;5.0
Lifestyle            ;jt;5657.0;68.0;284.0;412812.0;5.0
Lifestyle            ;parties;5657.0;68.0;284.0;412812.0;5.0
Sports               ;hear;5655.0;520.0;2411.0;634331.0;5.0
Entertainment        ;president;5654.0;2741.0;1982.0;548446.0;4.0
Sports               ;grades;5649.0;408.0;3711.0;597667.0;12.0
Sports               ;serious;5649.0;408.0;3711.0;597667.0;12.0
